x1,x2,y
6.53E-01,8.62E-01,1
6.45E-01,9.11E-01,1
6.53E-01,9.35E-01,1
7.82E-01,9.19E-01,1
7.98E-01,9.19E-01,1
8.39E-01,9.11E-01,1
8.63E-01,7.97E-01,1
8.63E-01,7.64E-01,1
8.71E-01,6.42E-01,1
8.71E-01,6.18E-01,1
8.71E-01,5.85E-01,1
9.11E-01,6.34E-01,1
9.27E-01,6.99E-01,1
9.27E-01,7.64E-01,1
9.03E-01,8.54E-01,1
8.87E-01,9.02E-01,1
8.55E-01,9.59E-01,1
7.82E-01,9.59E-01,1
6.77E-01,9.43E-01,1
6.29E-01,9.27E-01,1
6.05E-01,8.62E-01,1
5.89E-01,8.29E-01,1
6.05E-01,6.99E-01,1
6.05E-01,6.50E-01,1
6.21E-01,6.18E-01,1
6.29E-01,6.02E-01,1
6.85E-01,5.93E-01,1
7.18E-01,5.93E-01,1
7.98E-01,5.85E-01,1
8.23E-01,5.85E-01,1
8.63E-01,5.77E-01,1
8.79E-01,5.69E-01,1
8.87E-01,5.53E-01,1
9.27E-01,6.10E-01,1
9.44E-01,6.59E-01,1
9.44E-01,7.24E-01,1
9.44E-01,7.48E-01,1
9.35E-01,8.05E-01,1
9.35E-01,8.62E-01,1
9.03E-01,9.51E-01,1
8.87E-01,1.01E+00,1
8.15E-01,1.02E+00,1
7.26E-01,1.01E+00,1
6.61E-01,9.92E-01,1
6.21E-01,9.76E-01,1
6.05E-01,9.43E-01,1
6.05E-01,9.02E-01,1
5.89E-01,9.19E-01,1
5.89E-01,9.43E-01,1
5.73E-01,9.59E-01,1
5.56E-01,8.46E-01,1
5.56E-01,7.56E-01,1
5.89E-01,6.75E-01,1
5.89E-01,6.34E-01,1
6.05E-01,5.69E-01,1
6.94E-01,5.45E-01,1
7.82E-01,5.28E-01,1
7.98E-01,5.45E-01,1
7.66E-01,5.53E-01,1
8.79E-01,5.93E-01,1
9.03E-01,5.93E-01,1
9.19E-01,5.45E-01,1
8.06E-01,6.34E-01,1
7.82E-01,6.34E-01,1
7.58E-01,6.83E-01,1
7.58E-01,7.32E-01,1
7.34E-01,7.56E-01,1
7.18E-01,7.80E-01,1
7.66E-01,8.21E-01,1
8.15E-01,8.62E-01,1
8.31E-01,8.70E-01,1
7.42E-01,8.78E-01,1
7.02E-01,8.86E-01,1
6.94E-01,9.11E-01,1
7.42E-01,9.19E-01,1
7.74E-01,9.27E-01,1
7.50E-01,9.43E-01,1
6.85E-01,9.84E-01,1
8.06E-01,1.00E+00,1
8.55E-01,8.46E-01,1
7.98E-01,8.46E-01,1
8.06E-01,7.97E-01,1
8.31E-01,7.48E-01,1
7.34E-01,7.24E-01,1
6.61E-01,7.24E-01,1
6.13E-01,7.24E-01,1
6.13E-01,6.83E-01,1
7.10E-01,6.75E-01,1
6.69E-01,6.75E-01,1
8.06E-03,5.37E-01,0
8.06E-02,5.37E-01,0
1.29E-01,5.37E-01,0
1.85E-01,5.37E-01,0
2.34E-01,5.37E-01,0
3.06E-01,5.37E-01,0
3.87E-01,5.37E-01,0
4.60E-01,5.45E-01,0
4.60E-01,5.93E-01,0
4.60E-01,6.42E-01,0
4.60E-01,7.07E-01,0
4.60E-01,7.48E-01,0
4.68E-01,8.21E-01,0
4.68E-01,8.70E-01,0
4.60E-01,9.35E-01,0
4.68E-01,9.84E-01,0
4.35E-01,9.84E-01,0
4.11E-01,9.84E-01,0
3.31E-01,9.59E-01,0
3.06E-01,9.59E-01,0
2.58E-01,9.35E-01,0
2.34E-01,9.35E-01,0
1.94E-01,9.27E-01,0
1.37E-01,9.27E-01,0
1.29E-01,9.02E-01,0
7.26E-02,8.21E-01,0
9.68E-02,7.97E-01,0
1.77E-01,7.15E-01,0
2.10E-01,6.67E-01,0
2.42E-01,6.67E-01,0
2.58E-01,6.59E-01,0
3.23E-01,6.18E-01,0
3.71E-01,6.10E-01,0
3.71E-01,6.91E-01,0
3.47E-01,7.32E-01,0
3.47E-01,8.21E-01,0
3.47E-01,9.11E-01,0
3.79E-01,9.35E-01,0
3.55E-01,8.46E-01,0
3.31E-01,8.13E-01,0
3.06E-01,8.21E-01,0
2.58E-01,8.37E-01,0
2.50E-01,8.37E-01,0
1.77E-01,7.89E-01,0
1.37E-01,7.64E-01,0
7.26E-02,7.15E-01,0
3.23E-02,6.42E-01,0
4.03E-02,6.18E-01,0
5.65E-02,6.10E-01,0
1.29E-01,5.85E-01,0
1.77E-01,5.85E-01,0
2.26E-01,5.85E-01,0
2.82E-01,5.85E-01,0
3.23E-01,5.93E-01,0
3.39E-01,6.10E-01,0
1.85E-01,6.26E-01,0
1.61E-01,6.59E-01,0
1.13E-01,6.83E-01,0
1.53E-01,7.32E-01,0
2.34E-01,7.48E-01,0
3.39E-01,6.99E-01,0
3.39E-01,6.83E-01,0
3.55E-01,6.99E-01,0
3.95E-01,7.89E-01,0
3.95E-01,8.29E-01,0
4.11E-01,8.78E-01,0
1.94E-01,9.19E-01,0
1.77E-01,9.11E-01,0
1.29E-01,8.62E-01,0
1.13E-01,8.62E-01,0
1.05E-01,9.11E-01,0
6.45E-02,9.51E-01,0
4.84E-02,9.35E-01,0
4.84E-02,9.11E-01,0
4.84E-02,8.70E-01,0
4.84E-02,8.54E-01,0
5.65E-02,8.05E-01,0
1.61E-02,7.72E-01,0
8.06E-03,6.91E-01,0
-8.06E-03,6.59E-01,0
6.45E-02,5.93E-01,0
1.21E-01,5.85E-01,0
1.37E-01,6.59E-01,0
1.29E-01,6.91E-01,0
1.21E-01,7.64E-01,0
1.61E-01,8.62E-01,0
2.02E-01,8.78E-01,0
2.66E-01,8.86E-01,0
2.02E-01,9.11E-01,0
1.53E-01,9.35E-01,0
1.37E-01,9.43E-01,0
1.53E-01,9.43E-01,0
2.02E-01,9.51E-01,0
2.74E-01,9.51E-01,0
3.79E-01,8.86E-01,0
3.55E-01,8.78E-01,0
2.66E-01,8.05E-01,0
2.58E-01,7.48E-01,0
2.66E-01,6.91E-01,0
3.39E-01,6.59E-01,0
3.87E-01,6.34E-01,0
4.44E-01,7.72E-01,0
4.27E-01,7.80E-01,0
4.11E-01,7.64E-01,0
5.24E-01,4.72E-01,0
5.24E-01,4.31E-01,0
5.24E-01,3.58E-01,0
5.40E-01,3.01E-01,0
5.48E-01,1.79E-01,0
5.48E-01,1.46E-01,0
5.24E-01,8.94E-02,0
5.24E-01,3.25E-02,0
5.48E-01,7.32E-02,0
6.13E-01,2.28E-01,0
6.29E-01,3.17E-01,0
5.89E-01,3.90E-01,0
5.65E-01,4.47E-01,0
5.73E-01,4.55E-01,0
6.45E-01,4.80E-01,0
6.94E-01,4.88E-01,0
7.50E-01,4.88E-01,0
7.74E-01,4.80E-01,0
8.23E-01,4.63E-01,0
8.95E-01,4.39E-01,0
9.19E-01,4.39E-01,0
9.44E-01,4.55E-01,0
9.27E-01,4.47E-01,0
9.03E-01,4.55E-01,0
8.63E-01,4.55E-01,0
7.42E-01,3.98E-01,0
7.10E-01,3.66E-01,0
7.02E-01,2.76E-01,0
7.02E-01,2.11E-01,0
7.18E-01,9.76E-02,0
8.23E-01,5.69E-02,0
8.79E-01,8.94E-02,0
8.95E-01,1.14E-01,0
8.95E-01,2.03E-01,0
8.63E-01,3.25E-01,0
8.39E-01,3.33E-01,0
7.34E-01,3.25E-01,0
6.85E-01,3.50E-01,0
6.94E-01,3.90E-01,0
7.58E-01,4.07E-01,0
7.98E-01,3.82E-01,0
8.15E-01,3.25E-01,0
8.06E-01,2.85E-01,0
7.74E-01,2.52E-01,0
7.34E-01,2.20E-01,0
6.85E-01,2.03E-01,0
6.53E-01,1.79E-01,0
6.37E-01,1.46E-01,0
6.45E-01,1.30E-01,0
7.34E-01,1.22E-01,0
8.06E-01,1.14E-01,0
8.47E-01,1.14E-01,0
7.98E-01,1.71E-01,0
7.74E-01,1.71E-01,0
8.39E-01,2.20E-01,0
8.95E-01,2.68E-01,0
9.11E-01,3.01E-01,0
9.27E-01,2.44E-01,0
9.44E-01,1.14E-01,0
9.52E-01,4.88E-02,0
8.95E-01,4.88E-02,0
7.82E-01,5.69E-02,0
6.77E-01,4.88E-02,0
6.45E-01,5.69E-02,0
6.37E-01,1.06E-01,0
6.53E-01,1.06E-01,0
6.13E-01,9.76E-02,0
5.81E-01,7.32E-02,0
6.37E-01,2.52E-01,0
6.37E-01,3.33E-01,0
5.89E-01,3.98E-01,0
5.89E-01,4.23E-01,0
6.45E-01,4.39E-01,0
7.26E-01,4.23E-01,0
6.85E-01,4.07E-01,0
6.05E-01,3.41E-01,0
5.97E-01,3.25E-01,0
5.97E-01,2.85E-01,0
5.73E-01,3.25E-01,0
5.40E-01,4.15E-01,0
6.21E-01,4.15E-01,0
7.74E-01,3.09E-01,0
7.98E-01,2.60E-01,0
8.39E-01,2.52E-01,0
9.11E-01,3.98E-01,0
9.03E-01,4.23E-01,0
8.63E-01,4.23E-01,0
8.15E-01,4.23E-01,0
8.15E-01,3.82E-01,0
8.23E-01,2.76E-01,0
7.34E-01,1.79E-01,0
7.10E-01,1.46E-01,0
6.94E-01,1.22E-01,0
7.66E-01,8.13E-02,0
8.15E-01,8.13E-02,0
8.31E-01,1.63E-01,0
8.31E-01,1.95E-01,0
8.79E-01,2.52E-01,0
9.35E-01,3.25E-01,0
